Year,Metric,Value
2017-18,Cost of Cultivation (Rs./Hectare) - A1,24626.39
2017-18,Cost of Cultivation (Rs./Hectare) - A2,29547.2
2017-18,Cost of Cultivation (Rs./Hectare) - B1,29396.96
2017-18,Cost of Cultivation (Rs./Hectare) - B2,62762.33
2017-18,Cost of Cultivation (Rs./Hectare) - C1,32327.17
2017-18,Cost of Cultivation (Rs./Hectare) - C2,65692.55
2017-18,Cost of Cultivation (Rs./Hectare) - C2 Revised,65881.36
2017-18,Cost of Production (Rs./Qtl) - A1,438.39
2017-18,Cost of Production (Rs./Qtl) - A2,525.99
2017-18,Cost of Production (Rs./Qtl) - B1,523.31
2017-18,Cost of Production (Rs./Qtl) - B2,1117.27
2017-18,Cost of Production (Rs./Qtl) - C1,575.47
2017-18,Cost of Production (Rs./Qtl) - C2,1169.43
2017-18,Cost of Production (Rs./Qtl) - C2 Revised,1172.86
2017-18,Cost of Production (Rs./Qtl) - C3,1290.14
2017-18,Value of Main Product (Rs./Hectare),87916.39
2017-18,Value of By- Product (Rs./Hectare),8461.55
2017-18,Material & Labour Input/Hectare of > Seed (Kg.),112.86
2017-18,Material & Labour Input/Hectare of > Fertilizer (Kg. Nutrients),253.61
2017-18,Material & Labour Input/Hectare of > Manure (Qtl.),2.08
2017-18,Material & Labour Input/Hectare of > Human Labour* (Man Hrs.),110.43
2017-18,Material & Labour Input/Hectare of > Animal Labour (Pair Hrs.),0.22
2017-18,Rate per Unit (Rs.) > Seed (Kg.),22.6
2017-18,Rate per Unit (Rs.) > Fertilizer (Kg. Nutrients),20.74
2017-18,Rate per Unit (Rs.) > Manure (Qtl.),22.34
2017-18,Rate per Unit (Rs.) > Human Labour (Man Hrs.),48.83
2017-18,Rate per Unit (Rs.) > Animal Labour (Pair Hrs.),126.79
2017-18,Implicit Rate (Rs./Qtl.),1734.85
2017-18,Implicit Rate (Rs./Qtl.) > Number of Holdings in Sample,299.0
2017-18,Implicit Rate (Rs./Qtl.) > Number of Tehsils in Sample,30.0
2017-18,Derived Yield (Qtl./Hectare),51.24
2017-18,*Break-Up Human Labour Hours:- > Family,60.95
2017-18,*Break-Up Human Labour Hours:- > Attached,12.58
2017-18,*Break-Up Human Labour Hours:- > Casual,36.900000000000006
2017-18,*Break-Up Human Labour Hours:- > Total,110.43
2017-18,Operational Cost,26513.440000000006
2017-18,Operational Cost > Human Labour - Family,2930.21
2017-18,Operational Cost > Attached,597.03
2017-18,Operational Cost > Casual,1865.08
2017-18,Operational Cost > Total,5306.16
2017-18,Operational Cost > Animal Labour - Hired,6.12
2017-18,Operational Cost > Owned,2630.8
2017-18,Operational Cost > Machine Labour - Hired,7322.02
2017-18,Operational Cost > Seed,2550.81
2017-18,Operational Cost > Fertilizer & Manure - Fertilizer,5259.71
2017-18,Operational Cost > Manure,46.45
2017-18,Operational Cost > Insecticides,1841.49
2017-18,Operational Cost > Irrigation Charges,660.65
2017-18,Operational Cost > Crop Insurance,0.0
2017-18,Operational Cost > Miscellaneous,66.27
2017-18,Operational Cost > Interest on Working Capital,714.63
2017-18,Fixed Costs,39179.11
2017-18,Fixed Costs > Rental Value of Owned Land,28444.57
2017-18,Fixed Costs > Rent Paid For Leased-in-Land,4920.81
2017-18,"Fixed Costs > Land Revenue, Taxes, Cesses",0.0
2017-18,Fixed Costs > Depreciation on Implements & Farm Building,1043.16
2017-18,Fixed Costs > Interest on Fixed Capital,4770.57
2017-18,Total Cost [11+12],65692.55
2018-19,Cost of Cultivation (Rs./Hectare) - A1,28227.4
2018-19,Cost of Cultivation (Rs./Hectare) - A2,34179.27
2018-19,Cost of Cultivation (Rs./Hectare) - B1,32734.45
2018-19,Cost of Cultivation (Rs./Hectare) - B2,68094.33
2018-19,Cost of Cultivation (Rs./Hectare) - C1,35743.56
2018-19,Cost of Cultivation (Rs./Hectare) - C2,71103.44
2018-19,Cost of Cultivation (Rs./Hectare) - C2 Revised,71240.56
2018-19,Cost of Production (Rs./Qtl) - A1,477.74
2018-19,Cost of Production (Rs./Qtl) - A2,577.14
2018-19,Cost of Production (Rs./Qtl) - B1,555.16
2018-19,Cost of Production (Rs./Qtl) - B2,1193.87
2018-19,Cost of Production (Rs./Qtl) - C1,607.52
2018-19,Cost of Production (Rs./Qtl) - C2,1246.23
2018-19,Cost of Production (Rs./Qtl) - C2 Revised,1248.6333022537306
2018-19,Cost of Production (Rs./Qtl) - C3,1373.4966324791037
2018-19,Value of Main Product (Rs./Hectare),93053.32
2018-19,Value of By- Product (Rs./Hectare),9109.67
2018-19,Material & Labour Input/Hectare of > Seed (Kg.),115.996
2018-19,Material & Labour Input/Hectare of > Fertilizer (Kg. Nutrients),250.46
2018-19,Material & Labour Input/Hectare of > Manure (Qtl.),1.575
2018-19,Material & Labour Input/Hectare of > Human Labour* (Man Hrs.),113.29
2018-19,Material & Labour Input/Hectare of > Animal Labour (Pair Hrs.),0.29
2018-19,Rate per Unit (Rs.) > Seed (Kg.),23.02
2018-19,Rate per Unit (Rs.) > Fertilizer (Kg. Nutrients),24.66
2018-19,Rate per Unit (Rs.) > Manure (Qtl.),18.154
2018-19,Rate per Unit (Rs.) > Human Labour (Man Hrs.),49.79
2018-19,Rate per Unit (Rs.) > Animal Labour (Pair Hrs.),127.46
2018-19,Implicit Rate (Rs./Qtl.),1839.65
2018-19,Implicit Rate (Rs./Qtl.) > Number of Holdings in Sample,292
2018-19,Implicit Rate (Rs./Qtl.) > Number of Tehsils in Sample,30
2018-19,Derived Yield (Qtl./Hectare),51.94787479036775
2018-19,*Break-Up Human Labour Hours:- > Family,61.23000000000001
2018-19,*Break-Up Human Labour Hours:- > Attached,12.91
2018-19,*Break-Up Human Labour Hours:- > Casual,39.15
2018-19,*Break-Up Human Labour Hours:- > Total,113.29
2018-19,Operational Cost,30196.729999999996
2018-19,Operational Cost > Human Labour - Family,3009.11
2018-19,Operational Cost > Attached,635.08
2018-19,Operational Cost > Casual,1996.48
2018-19,Operational Cost > Total,6205.05
2018-19,Operational Cost > Animal Labour - Hired,7.86
2018-19,Operational Cost > Owned,3762.52
2018-19,Operational Cost > Machine Labour - Hired,8103.12
2018-19,Operational Cost > Seed,2670.21
2018-19,Operational Cost > Fertilizer & Manure - Fertilizer,6176.46
2018-19,Operational Cost > Manure,28.59
2018-19,Operational Cost > Insecticides,2069.76
2018-19,Operational Cost > Irrigation Charges,652
2018-19,Operational Cost > Crop Insurance,0
2018-19,Operational Cost > Miscellaneous,232.04
2018-19,Operational Cost > Interest on Working Capital,823.85
2018-19,Fixed Costs,40906.71
2018-19,Fixed Costs > Rental Value of Owned Land,29408.02
2018-19,Fixed Costs > Rent Paid For Leased-in-Land,5951.86
2018-19,"Fixed Costs > Land Revenue, Taxes, Cesses",0
2018-19,Fixed Costs > Depreciation on Implements & Farm Building,1039.79
2018-19,Fixed Costs > Interest on Fixed Capital,4507.04
2018-19,Total Cost [11+12],71103.44
2019-20,Cost of Cultivation (Rs./Hectare) - A1,28018.89
2019-20,Cost of Cultivation (Rs./Hectare) - A2,34983.89
2019-20,Cost of Cultivation (Rs./Hectare) - A2+FL,37823.21
2019-20,Cost of Cultivation (Rs./Hectare) - B1,32747.81
2019-20,Cost of Cultivation (Rs./Hectare) - B2,69396.84
2019-20,Cost of Cultivation (Rs./Hectare) - C1,35587.14
2019-20,Cost of Cultivation (Rs./Hectare) - C2,72236.16
2019-20,Cost of Cultivation (Rs./Hectare) - C2 Revised,72236.16
2019-20,Cost of Production (Rs./Qtl) - A1,522.61
2019-20,Cost of Production (Rs./Qtl) - A2,651.94
2019-20,Cost of Production (Rs./Qtl) - A2+FL,704.32
2019-20,Cost of Production (Rs./Qtl) - B1,610.97
2019-20,Cost of Production (Rs./Qtl) - B2,1292.13
2019-20,Cost of Production (Rs./Qtl) - C1,663.67
2019-20,Cost of Production (Rs./Qtl) - C2,1344.84
2019-20,Cost of Production (Rs./Qtl) - C2 Revised,1344.84
2019-20,Cost of Production (Rs./Qtl) - C3,1479.32
2019-20,Value of Main Product (Rs./Hectare),94583.44
2019-20,Value of By- Product (Rs./Hectare),8977.32
2019-20,Material & Labour Input/Hectare of > Seed (Kg.),116.268
2019-20,Material & Labour Input/Hectare of > Fertilizer (Kg. Nutrients),248.033
2019-20,Material & Labour Input/Hectare of > Manure (Qtl.),0.258
2019-20,Material & Labour Input/Hectare of > Human Labour* (Man Hrs.),102.58
2019-20,Material & Labour Input/Hectare of > Animal Labour (Pair Hrs.),0.2
2019-20,Rate per Unit (Rs.) > Seed (Kg.),24.631
2019-20,Rate per Unit (Rs.) > Fertilizer (Kg. Nutrients),22.902
2019-20,Rate per Unit (Rs.) > Manure (Qtl.),18.99
2019-20,Rate per Unit (Rs.) > Human Labour (Man Hrs.),51.75
2019-20,Rate per Unit (Rs.) > Animal Labour (Pair Hrs.),175.38
2019-20,Implicit Rate (Rs./Qtl.),1924.8
2019-20,Implicit Rate (Rs./Qtl.) > Number of Holdings in Sample,279
2019-20,Implicit Rate (Rs./Qtl.) > Number of Tehsils in Sample,30
2019-20,Derived Yield (Qtl./Hectare),49.04647
2019-20,*Break-Up Human Labour Hours:- > Family,54.47
2019-20,*Break-Up Human Labour Hours:- > Attached,10.21
2019-20,*Break-Up Human Labour Hours:- > Casual,37.9
2019-20,*Break-Up Human Labour Hours:- > Total,102.58
2019-20,Operational Cost,29676.96
2019-20,Operational Cost > Human Labour - Family,2839.32
2019-20,Operational Cost > Attached,524.17
2019-20,Operational Cost > Casual,1945.17
2019-20,Operational Cost > Total,5685.37
2019-20,Operational Cost > Animal Labour - Hired,6.86
2019-20,Operational Cost > Owned,3867.09
2019-20,Operational Cost > Machine Labour - Hired,8028.65
2019-20,Operational Cost > Seed,2863.74
2019-20,Operational Cost > Fertilizer & Manure - Fertilizer,5680.48
2019-20,Operational Cost > Manure,4.89
2019-20,Operational Cost > Insecticides,2197.37
2019-20,Operational Cost > Irrigation Charges,657.24
2019-20,Operational Cost > Crop Insurance,0
2019-20,Operational Cost > Miscellaneous,220.57
2019-20,Operational Cost > Interest on Working Capital,813.24
2019-20,Fixed Costs,42559.2
2019-20,Fixed Costs > Rental Value of Owned Land,29684.03
2019-20,Fixed Costs > Rent Paid For Leased-in-Land,6965
2019-20,"Fixed Costs > Land Revenue, Taxes, Cesses",0
2019-20,Fixed Costs > Depreciation on Implements & Farm Building,1181.25
2019-20,Fixed Costs > Interest on Fixed Capital,4728.92
2019-20,Total Cost [11+12],72236.16
2020-21,Cost of Cultivation (Rs./Hectare) - A1,28219.39
2020-21,Cost of Cultivation (Rs./Hectare) - A2,33689.99
2020-21,Cost of Cultivation (Rs./Hectare) - A2+FL,36761.49
2020-21,Cost of Cultivation (Rs./Hectare) - B1,33365.31
2020-21,Cost of Cultivation (Rs./Hectare) - B2,69179.02
2020-21,Cost of Cultivation (Rs./Hectare) - C1,36436.81
2020-21,Cost of Cultivation (Rs./Hectare) - C2,72250.53
2020-21,Cost of Cultivation (Rs./Hectare) - C2 Revised,72250.53
2020-21,Cost of Production (Rs./Qtl) - A1,543.16
2020-21,Cost of Production (Rs./Qtl) - A2,648.39
2020-21,Cost of Production (Rs./Qtl) - A2+FL,707.81
2020-21,Cost of Production (Rs./Qtl) - B1,642.11
2020-21,Cost of Production (Rs./Qtl) - B2,1331.75
2020-21,Cost of Production (Rs./Qtl) - C1,701.27
2020-21,Cost of Production (Rs./Qtl) - C2,1390.91
2020-21,Cost of Production (Rs./Qtl) - C2 Revised,1390.91
2020-21,Cost of Production (Rs./Qtl) - C3,1530
2020-21,Value of Main Product (Rs./Hectare),94951.72
2020-21,Value of By- Product (Rs./Hectare),7638.53
2020-21,Material & Labour Input/Hectare of > Seed (Kg.),121.523
2020-21,Material & Labour Input/Hectare of > Fertilizer (Kg. Nutrients),248.486
2020-21,Material & Labour Input/Hectare of > Manure (Qtl.),0.957
2020-21,Material & Labour Input/Hectare of > Human Labour* (Man Hrs.),89.96
2020-21,Material & Labour Input/Hectare of > Animal Labour (Pair Hrs.),0.06
2020-21,Rate per Unit (Rs.) > Seed (Kg.),25.23
2020-21,Rate per Unit (Rs.) > Fertilizer (Kg. Nutrients),23.312
2020-21,Rate per Unit (Rs.) > Manure (Qtl.),20.358
2020-21,Rate per Unit (Rs.) > Human Labour (Man Hrs.),54.84
2020-21,Rate per Unit (Rs.) > Animal Labour (Pair Hrs.),118.16
2020-21,Implicit Rate (Rs./Qtl.),1975.03
2020-21,Implicit Rate (Rs./Qtl.) > Number of Holdings in Sample,297
2020-21,Implicit Rate (Rs./Qtl.) > Number of Tehsils in Sample,30
2020-21,Derived Yield (Qtl./Hectare),48.06962
2020-21,*Break-Up Human Labour Hours:- > Family,55.2
2020-21,*Break-Up Human Labour Hours:- > Attached,11.29
2020-21,*Break-Up Human Labour Hours:- > Casual,23.47
2020-21,*Break-Up Human Labour Hours:- > Total,89.96
2020-21,Operational Cost,30779.29
2020-21,Operational Cost > Human Labour - Family,3071.5
2020-21,Operational Cost > Attached,635.1
2020-21,Operational Cost > Casual,1226.69
2020-21,Operational Cost > Total,5812.12
2020-21,Operational Cost > Animal Labour - Hired,1.26
2020-21,Operational Cost > Owned,4128.65
2020-21,Operational Cost > Machine Labour - Hired,8708.36
2020-21,Operational Cost > Seed,3066.05
2020-21,Operational Cost > Fertilizer & Manure - Fertilizer,5792.65
2020-21,Operational Cost > Manure,19.47
2020-21,Operational Cost > Insecticides,2311.83
2020-21,Operational Cost > Irrigation Charges,737.74
2020-21,Operational Cost > Crop Insurance,0
2020-21,Operational Cost > Miscellaneous,234.33
2020-21,Operational Cost > Interest on Working Capital,839.62
2020-21,Fixed Costs,41471.24
2020-21,Fixed Costs > Rental Value of Owned Land,30343.11
2020-21,Fixed Costs > Rent Paid For Leased-in-Land,5470.6
2020-21,"Fixed Costs > Land Revenue, Taxes, Cesses",0
2020-21,Fixed Costs > Depreciation on Implements & Farm Building,511.61
2020-21,Fixed Costs > Interest on Fixed Capital,5145.92
2020-21,Total Cost [11+12],72250.53
2021-22,Cost of Cultivation (Rs./Hectare) - A1,28891.92
2021-22,Cost of Cultivation (Rs./Hectare) - A2,34608.84
2021-22,Cost of Cultivation (Rs./Hectare) - A2+FL,37600.8
2021-22,Cost of Cultivation (Rs./Hectare) - B1,34320.92
2021-22,Cost of Cultivation (Rs./Hectare) - B2,66460.44
2021-22,Cost of Cultivation (Rs./Hectare) - C1,37312.88
2021-22,Cost of Cultivation (Rs./Hectare) - C2,69452.42
